Requisition ID,Recruiter ID,Department,Business Unit,Position Title,Location,Priority,Status,Days Open,Target Salary Min,Target Salary Max,Headcount Needed,Headcount Filled,Posting Quarter
REQ-1001,REC-012,R&D,Corporate,R&D Engineer,New Brunswick NJ,Low,Filled,16,90000,105044,2,2,Q1 2025
REQ-1002,REC-018,Legal,Pharma,Compliance Analyst,Warsaw IN,High,Filled,48,71000,82934,2,2,Q4 2025
REQ-1003,REC-011,Engineering,MedTech,Software Engineer,New Brunswick NJ,Critical,Filled,61,87000,109918,4,4,Q2 2025
REQ-1004,REC-005,Operations,Pharma,Senior Operations Manager,Raynham MA,High,Open,57,103000,123393,1,0,Q4 2025
REQ-1005,REC-003,Sales,MedTech,Senior Sales Representative,Raritan NJ,Critical,Open,128,56000,70608,1,0,Q4 2025
REQ-1006,REC-005,R&D,MedTech,Senior Research Scientist,Raritan NJ,Medium,Open,95,123000,139088,1,0,Q2 2025
REQ-1007,REC-003,Quality,MedTech,Quality Director,Jacksonville FL,High,Filled,85,154000,189038,1,1,Q4 2025
REQ-1008,REC-007,Sales,MedTech,Senior Sales Representative,Remote,Medium,Open,124,79000,90611,1,0,Q2 2025
REQ-1009,REC-018,Supply Chain,Consumer Health,VP Supply Chain,Irvine CA,High,Filled,29,175000,211347,1,1,Q2 2025
REQ-1010,REC-016,Legal,MedTech,Corporate Counsel,Remote,Critical,Filled,6,128000,143664,1,1,Q1 2026
REQ-1011,REC-014,HR,Pharma,Talent Acquisition Specialist,New Brunswick NJ,Medium,Open,70,54000,61305,4,3,Q1 2026
REQ-1012,REC-010,Quality,Corporate,Quality Assurance Manager,Raritan NJ,Medium,Filled,24,103000,128184,1,1,Q2 2025
REQ-1013,REC-005,Quality,Consumer Health,Quality Assurance Manager,Raritan NJ,High,Filled,35,93000,113794,4,4,Q1 2025
REQ-1014,REC-015,Supply Chain,MedTech,Senior Supply Chain Manager,Jacksonville FL,Critical,Filled,6,111000,130736,1,1,Q1 2026
REQ-1015,REC-009,Marketing,Consumer Health,Marketing Specialist,Raritan NJ,Medium,Open,124,58000,68912,1,0,Q4 2025
REQ-1016,REC-015,Quality,Consumer Health,Quality Analyst,Remote,High,Open,41,64000,73805,1,0,Q1 2025
REQ-1017,REC-001,Finance,MedTech,Controller,Cincinnati OH,Low,Open,24,155000,176232,2,1,Q2 2025
REQ-1018,REC-011,Finance,Corporate,FP&A Director,Irvine CA,Medium,Filled,20,187000,215803,1,1,Q2 2025
REQ-1019,REC-017,Engineering,Corporate,Software Engineer,Irvine CA,Medium,Open,37,98000,116247,1,0,Q1 2026
REQ-1020,REC-010,Supply Chain,Pharma,Procurement Specialist,Remote,Low,Cancelled,54,63000,72807,2,0,Q2 2025
REQ-1021,REC-005,Engineering,Corporate,Junior Software Engineer,Boston MA,High,Filled,6,52000,65977,2,2,Q3 2025
REQ-1022,REC-004,Finance,Pharma,Controller,New Brunswick NJ,Low,Open,86,117000,146096,1,0,Q3 2025
REQ-1023,REC-015,Sales,MedTech,Account Executive,Cincinnati OH,Critical,Filled,60,60000,73566,1,1,Q3 2025
REQ-1024,REC-013,HR,Consumer Health,Talent Acquisition Specialist,Palm Beach Gardens FL,Critical,Open,164,51000,63570,1,0,Q3 2025
REQ-1025,REC-014,Sales,Consumer Health,Senior Sales Representative,Irvine CA,Medium,Filled,16,70000,80329,1,1,Q1 2026
REQ-1026,REC-002,Finance,Consumer Health,Senior Financial Analyst,Palm Beach Gardens FL,Low,Open,27,86000,104584,5,0,Q4 2025
REQ-1027,REC-015,Quality,Pharma,Quality Analyst,Raritan NJ,Medium,Open,18,50000,57020,5,1,Q2 2025
REQ-1028,REC-013,HR,MedTech,Compensation Analyst,Irvine CA,Low,Open,31,73000,82959,1,0,Q1 2025
REQ-1029,REC-011,Sales,MedTech,Regional Sales Director,Jacksonville FL,Low,Filled,55,156000,195028,2,2,Q2 2025
REQ-1030,REC-012,Finance,Pharma,Finance Manager,Warsaw IN,Low,Open,173,124000,150434,1,0,Q1 2026
REQ-1031,REC-016,Engineering,MedTech,Principal Engineer,Jacksonville FL,High,Filled,72,183000,212656,3,3,Q1 2025
REQ-1032,REC-013,HR,Corporate,Compensation Analyst,Raynham MA,Low,Filled,54,71000,87723,1,1,Q2 2025
REQ-1033,REC-001,Operations,MedTech,Process Improvement Specialist,Raynham MA,Medium,Cancelled,15,60000,73281,1,0,Q1 2026
REQ-1034,REC-002,Finance,Corporate,Finance Manager,Jacksonville FL,High,Open,106,119000,148768,2,0,Q1 2026
REQ-1035,REC-007,R&D,Consumer Health,Senior Research Scientist,New Brunswick NJ,Critical,Open,71,99000,116306,1,0,Q2 2025
REQ-1036,REC-011,Marketing,Consumer Health,Marketing Coordinator,Jacksonville FL,Medium,Cancelled,54,43000,48634,3,0,Q1 2025
REQ-1037,REC-012,Legal,MedTech,Senior Corporate Counsel,Raynham MA,Critical,Open,126,178000,206894,1,0,Q2 2025
REQ-1038,REC-018,Supply Chain,Consumer Health,Supply Chain Manager,Cincinnati OH,High,Filled,21,88000,101646,4,4,Q1 2026
REQ-1039,REC-013,Supply Chain,MedTech,Supply Chain Manager,Remote,High,Filled,68,82000,99217,1,1,Q3 2025
REQ-1040,REC-011,Marketing,MedTech,VP Marketing,Raynham MA,High,Open,78,141000,168885,2,0,Q1 2025
REQ-1041,REC-013,R&D,Corporate,Senior Research Scientist,Warsaw IN,Low,Open,111,107000,121647,2,0,Q2 2025
REQ-1042,REC-015,Sales,MedTech,Sales Manager,Raynham MA,High,Open,102,94000,106148,1,0,Q1 2026
REQ-1043,REC-003,HR,Corporate,HR Director,Cincinnati OH,Low,Open,126,121000,150295,1,0,Q4 2025
REQ-1044,REC-018,Quality,Consumer Health,Validation Specialist,Irvine CA,High,Open,161,68000,78011,1,0,Q1 2025
REQ-1045,REC-014,Sales,Consumer Health,Business Development Rep,Palm Beach Gardens FL,Critical,Open,178,48000,54562,1,0,Q3 2025
REQ-1046,REC-013,R&D,Corporate,R&D Director,Raritan NJ,Medium,Open,109,184000,219996,1,0,Q4 2025
REQ-1047,REC-015,Operations,Pharma,Senior Operations Manager,New Brunswick NJ,High,Filled,17,108000,125616,3,3,Q4 2025
REQ-1048,REC-019,Finance,MedTech,Controller,Cincinnati OH,Low,Filled,65,157000,177533,1,1,Q1 2025
REQ-1049,REC-013,Engineering,Pharma,Software Engineer,Jacksonville FL,Low,Open,69,75000,92630,1,0,Q2 2025
REQ-1050,REC-005,Supply Chain,Consumer Health,Senior Supply Chain Manager,Raritan NJ,High,Open,98,117000,138101,3,0,Q1 2026
REQ-1051,REC-019,Quality,Corporate,Quality Analyst,Jacksonville FL,Critical,Filled,17,50000,58461,1,1,Q3 2025
REQ-1052,REC-018,HR,Corporate,Senior HR Manager,Warsaw IN,Medium,Filled,27,107000,128049,2,2,Q4 2025
